apple,microsoft
0.370536,0.392361
0.372768,0.394097
0.370536,0.383681
0.366071,0.387153
0.352679,0.368056
0.357143,0.361111
0.34375,0.352431
0.348214,0.362847
0.354911,0.368056
0.366071,0.375
0.362723,0.380208
0.366071,0.381944
0.368304,0.402778
0.371652,0.397569
0.372768,0.404514
0.370536,0.407986
0.386161,0.407986
0.381696,0.413194
0.375,0.414931
0.375,0.404514
0.372768,0.40625
0.386161,0.414931
0.390625,0.409722
0.397321,0.416667
0.410714,0.423611
0.417411,0.423611
0.417411,0.4375
0.412946,0.440972
0.419643,0.446181
0.40625,0.434028
0.408482,0.432292
0.410714,0.442708
0.40067,0.435764
0.412946,0.451389
0.401786,0.442708
0.396205,0.40625
0.392857,0.407986
0.392857,0.428819
0.372768,0.407986
0.363839,0.394097
0.357143,0.385417
0.370536,0.397569
0.363839,0.394097
0.354911,0.378472
0.354911,0.388889
0.350446,0.385417
0.352679,0.388889
0.372768,0.404514
0.363839,0.399306
0.372768,0.40625
0.372768,0.397569
0.372768,0.388889
0.361607,0.385417
0.354911,0.369792
0.354911,0.375
0.358259,0.380208
0.359375,0.376736
0.360491,0.381944
0.354911,0.378472
0.359375,0.383681
0.366071,0.387153
0.372768,0.387153
0.372768,0.385417
0.368304,0.381944
0.363839,0.378472
0.366071,0.383681
0.373884,0.394097
0.375,0.394097
0.371652,0.394097
0.368304,0.397569
0.361607,0.397569
0.359375,0.392361
0.352679,0.387153
0.359375,0.392361
0.361607,0.394097
0.370536,0.409722
0.361607,0.402778
0.352679,0.388889
0.350446,0.397569
0.34375,0.390625
0.339286,0.381944
0.348214,0.392361
0.34375,0.388889
0.350446,0.390625
0.357143,0.385417
0.370536,0.404514
0.375,0.413194
0.372768,0.409722
0.381696,0.413194
0.390625,0.423611
0.395089,0.421875
0.401786,0.432292
0.388393,0.428819
0.401786,0.434028
0.404018,0.4375
0.404018,0.435764
0.401786,0.439236
0.399554,0.440972
0.396205,0.435764
0.392857,0.434028
0.40625,0.451389
0.408482,0.465278
0.401786,0.458333
0.397321,0.453125
0.399554,0.444444
0.410714,0.458333
0.412946,0.460069
0.415179,0.465278
0.415179,0.46875
0.420759,0.484375
0.415179,0.473958
0.40625,0.472222
0.40625,0.477431
0.401786,0.465278
0.399554,0.454861
0.399554,0.463542
0.401786,0.465278
0.405134,0.467014
0.401786,0.467014
0.399554,0.461806
0.390625,0.442708
0.383929,0.421875
0.381696,0.430556
0.381696,0.402778
0.381696,0.404514
0.379464,0.399306
0.386161,0.40625
0.397321,0.414931
0.401786,0.40625
0.399554,0.397569
0.399554,0.390625
0.397321,0.385417
0.397321,0.373264
0.392857,0.368056
0.390625,0.355903
0.377232,0.354167
0.383929,0.359375
0.377232,0.361111
0.366071,0.350694
0.379464,0.364583
0.375,0.366319
0.379464,0.366319
0.359375,0.348958
0.354911,0.335069
0.354911,0.34375
0.359375,0.348958
0.357143,0.352431
0.363839,0.361111
0.363839,0.361111
0.366071,0.357639
0.354911,0.34375
0.352679,0.345486
0.357143,0.357639
0.348214,0.362847
0.341518,0.357639
0.345982,0.359375
0.366071,0.373264
0.359375,0.369792
0.372768,0.381076
0.375,0.375
0.370536,0.362847
0.375,0.364583
0.372768,0.361111
0.372768,0.371528
0.383929,0.375
0.388393,0.378472
0.390625,0.373264
0.379464,0.361111
0.388393,0.362847
0.390625,0.366319
0.392857,0.366319
0.383929,0.355903
0.377232,0.357639
0.368304,0.355903
0.361607,0.348958
0.348214,0.347222
0.352679,0.347222
0.341518,0.345486
0.34375,0.34375
0.34375,0.349826
0.352679,0.361111
0.34375,0.355903
0.348214,0.359375
0.354911,0.371528
0.357143,0.366319
0.368304,0.368056
0.368304,0.369792
0.359375,0.361111
0.357143,0.348958
0.345982,0.342014
0.348214,0.342014
0.345982,0.342014
0.34375,0.340278
0.341518,0.338542
0.332589,0.328125
0.328125,0.322917
0.332589,0.322917
0.334821,0.328125
0.341518,0.333333
0.352679,0.345486
0.348214,0.336806
0.345982,0.333333
0.348214,0.336806
0.348214,0.327257
0.339286,0.321181
0.34375,0.321181
0.334821,0.319444
0.325893,0.319444
0.319196,0.321181
0.323661,0.321181
0.325893,0.321181
0.325893,0.326389
0.328125,0.328125
0.337054,0.329861
0.341518,0.336806
0.352679,0.345486
0.350446,0.34375
0.348214,0.34375
0.350446,0.342014
0.350446,0.338542
0.350446,0.338542
0.34375,0.328125
0.34375,0.331597
0.357143,0.340278
0.352679,0.338542
0.359375,0.351563
0.366071,0.356771
0.366071,0.357639
0.372768,0.364583
0.366071,0.359375
0.366071,0.361111
0.361607,0.361111
0.359375,0.361111
0.361607,0.371528
0.359375,0.371528
0.363839,0.371528
0.375,0.380208
0.377232,0.371528
0.383929,0.368056
0.379464,0.362847
0.377232,0.360243
0.377232,0.362847
0.381696,0.364583
0.386161,0.369792
0.386161,0.365451
0.363839,0.359375
0.361607,0.362847
0.361607,0.371528
0.363839,0.375
0.366071,0.368056
0.372768,0.368056
0.363839,0.365451
0.341518,0.375868
0.335938,0.385417
0.332589,0.409722
0.337054,0.413194
0.352679,0.413194
0.357143,0.420139
0.352679,0.421875
0.341518,0.421007
0.348214,0.430556
0.341518,0.430556
0.341518,0.4375
0.328125,0.427083
0.329241,0.429688
0.319196,0.420139
0.323661,0.434028
0.323661,0.4375
0.329241,0.432292
0.332589,0.427083
0.325893,0.418403
0.330357,0.418403
0.321429,0.407986
0.325893,0.416667
0.323661,0.416667
0.319196,0.411458
0.314732,0.421875
0.3125,0.428819
0.316964,0.414931
0.31808,0.373264
0.314732,0.366319
0.308036,0.357639
0.3125,0.361111
0.3125,0.369792
0.314732,0.366319
0.3125,0.352431
0.308036,0.348958
0.3125,0.322049
0.316964,0.324653
0.305804,0.34375
0.303571,0.338542
0.305804,0.347222
0.303571,0.348958
0.303571,0.345486
0.305804,0.345486
0.3125,0.347222
0.316964,0.347222
0.308036,0.348958
0.308036,0.347222
0.310268,0.350694
0.321429,0.355903
0.332589,0.355903
0.334821,0.357639
0.341518,0.359375
0.345982,0.331597
0.348214,0.342014
0.34375,0.355903
0.352679,0.364583
0.357143,0.381944
0.363839,0.381944
0.361607,0.388889
0.357143,0.381944
0.357143,0.385417
0.357143,0.381944
0.352679,0.375
0.350446,0.380208
0.34375,0.384549
0.348214,0.380208
0.354911,0.375
0.359375,0.376736
0.379464,0.369792
0.370536,0.361111
0.375,0.359375
0.383929,0.371528
0.386161,0.376736
0.397321,0.37934
0.399554,0.375868
0.410714,0.380208
0.404018,0.391493
0.404018,0.397569
0.399554,0.403646
0.408482,0.404514
0.410714,0.404514
0.404018,0.389757
0.421875,0.399306
0.430804,0.402778
0.430804,0.409722
0.424107,0.409722
0.426339,0.418403
0.433036,0.417535
0.435268,0.40625
0.417411,0.394097
0.417411,0.407986
0.433036,0.414931
0.421875,0.414931
0.417411,0.414931
0.424107,0.405382
0.4375,0.401042
0.441964,0.401042
0.399554,0.393229
0.397321,0.395833
0.392857,0.392361
0.383929,0.369792
0.379464,0.383681
0.386161,0.385417
0.392857,0.383681
0.390625,0.380208
0.377232,0.375
0.366071,0.367188
0.361607,0.361111
0.372768,0.368924
0.361607,0.378472
0.363839,0.387153
0.368304,0.366319
0.366071,0.373264
0.363839,0.381076
0.354911,0.368056
0.357143,0.368924
0.363839,0.369792
0.363839,0.366319
0.363839,0.369792
0.352679,0.375
0.363839,0.376736
0.354911,0.368056
0.354911,0.380208
0.350446,0.381944
0.341518,0.366319
0.341518,0.372396
0.350446,0.375
0.350446,0.375
0.354911,0.380208
0.354911,0.375
0.361607,0.377604
0.368304,0.380208
0.383929,0.401042
0.388393,0.399306
0.392857,0.408854
0.392857,0.409722
0.392857,0.409722
0.370536,0.401042
0.363839,0.395833
0.370536,0.401042
0.359375,0.387153
0.372768,0.392361
0.377232,0.399306
0.375,0.388889
0.383929,0.407118
0.390625,0.415799
0.392857,0.407986
0.397321,0.407986
0.399554,0.415799
0.392857,0.407986
0.397321,0.413194
0.397321,0.409722
0.397321,0.414931
0.399554,0.414931
0.399554,0.409722
0.399554,0.402778
0.399554,0.407986
0.40625,0.413194
0.412946,0.423611
0.401786,0.435764
0.401786,0.444444
0.397321,0.434028
0.395089,0.442708
0.392857,0.435764
0.401786,0.456597
0.399554,0.454861
0.399554,0.458333
0.401786,0.465278
0.395089,0.460069
0.401786,0.461806
0.404018,0.472222
0.397321,0.473958
0.395089,0.489583
0.390625,0.479167
0.397321,0.524306
0.412946,0.552951
0.428571,0.552083
0.444196,0.572917
0.435268,0.557292
0.4375,0.555556
0.435268,0.539931
0.399554,0.491319
0.410714,0.522569
0.415179,0.547743
0.430804,0.5625
0.426339,0.583333
0.428571,0.588542
0.412946,0.572917
0.426339,0.565972
0.40625,0.546875
0.404018,0.539931
0.40625,0.541667
0.408482,0.557292
0.412946,0.567708
0.401786,0.561632
0.392857,0.53125
0.388393,0.543403
0.386161,0.538194
0.395089,0.570313
0.401786,0.583333
0.408482,0.583333
0.415179,0.586806
0.415179,0.616319
0.401786,0.602431
0.397321,0.618056
0.397321,0.608507
0.401786,0.602431
0.404018,0.600694
0.40625,0.612847
0.399554,0.617188
0.399554,0.607639
0.390625,0.604167
0.388393,0.607639
0.390625,0.583333
0.397321,0.605035
0.390625,0.590278
0.404018,0.602431
0.401786,0.600694
0.377232,0.583333
0.379464,0.59375
0.366071,0.588542
0.350446,0.581597
0.321429,0.560764
0.319196,0.548611
0.310268,0.543403
0.301339,0.536458
0.308036,0.543403
0.319196,0.564236
0.319196,0.574653
0.323661,0.579861
0.328125,0.596354
0.316964,0.597222
0.3125,0.579861
0.310268,0.59375
0.314732,0.605903
0.339286,0.621528
0.341518,0.619792
0.337054,0.635417
0.334821,0.621528
0.339286,0.631944
0.335938,0.625
0.323661,0.616319
0.305804,0.591146
0.308036,0.595486
0.299107,0.59375
0.310268,0.611111
0.294643,0.622396
0.301339,0.661458
0.303571,0.652778
0.301339,0.631944
0.290179,0.611111
0.305804,0.635417
0.303571,0.628472
0.294643,0.635417
0.296875,0.637153
0.308036,0.638889
0.308036,0.642361
0.296875,0.645833
0.305804,0.650174
0.310268,0.652778
0.294643,0.649306
0.296875,0.650174
0.299107,0.654514
0.305804,0.65625
0.303571,0.659722
0.308036,0.661458
0.301339,0.659722
0.305804,0.682292
0.299107,0.678819
0.292411,0.685764
0.303571,0.671875
0.292411,0.664931
0.294643,0.677083
0.303571,0.690972
0.299107,0.680556
0.299107,0.684028
0.299107,0.696181
0.299107,0.71875
0.3125,0.727431
0.3125,0.727431
0.319196,0.715278
0.328125,0.736111
0.332589,0.737847
0.325893,0.753472
0.328125,0.744792
0.325893,0.749132
0.357143,0.777778
0.361607,0.789931
0.377232,0.809028
0.368304,0.783854
0.372768,0.788194
0.368304,0.777778
0.379464,0.767361
0.375,0.771701
0.375,0.779514
0.366071,0.766493
0.357143,0.763889
0.357143,0.762153
0.361607,0.782986
0.370536,0.805556
0.366071,0.811632
0.359375,0.796875
0.354911,0.789931
0.368304,0.796007
0.370536,0.822917
0.383929,0.845486
0.388393,0.847222
0.386161,0.842014
0.386161,0.855903
0.372768,0.833333
0.364955,0.833333
0.359375,0.817708
0.357143,0.829861
0.345982,0.809028
0.348214,0.8125
0.348214,0.793403
0.350446,0.78125
0.354911,0.815972
0.354911,0.795139
0.354911,0.8125
0.357143,0.826389
0.354911,0.861111
0.366071,0.871528
0.371652,0.873264
0.372768,0.878472
0.36942,0.902778
0.381696,0.920139
0.36942,0.909722
0.372768,0.895833
0.372768,0.899306
0.368304,0.897569
0.352679,0.954861
0.358259,0.986111
0.368304,1.0
0.377232,1.065972
0.352679,1.03125
0.357143,1.03125
0.371652,1.057292
0.370536,1.038194
0.36942,1.017361
0.363839,1.039931
0.366071,1.072917
0.348214,1.017361
0.352679,1.017361
0.34375,1.0
0.337054,1.013889
0.34933,1.048611
0.360491,1.053819
0.357143,1.0625
0.354911,1.034722
0.350446,1.052083
0.348214,1.038194
0.356027,1.046875
0.357143,1.076389
0.375,1.072917
0.370536,1.050347
0.372768,1.045139
0.363839,1.038194
0.381696,1.064236
0.383929,1.0625
0.397321,1.055556
0.391741,1.019097
0.390625,0.993056
0.388393,1.001736
0.401786,1.020833
0.419643,1.03125
0.417411,1.027778
0.417411,1.045139
0.424107,1.079861
0.417411,1.09375
0.408482,1.102431
0.397321,1.072917
0.363839,1.046875
0.375,1.069444
0.366071,1.017361
0.375,1.006944
0.375,0.972222
0.377232,0.989583
0.368304,0.951389
0.363839,0.951389
0.379464,0.947917
0.375,0.920139
0.368304,0.909722
0.388393,0.909722
0.348214,0.854167
0.359375,0.850694
0.352679,0.868056
0.359375,0.888889
0.345982,0.904514
0.339286,0.885417
0.357143,0.90625
0.357143,0.899306
0.348214,0.888889
0.34375,0.847222
0.325893,0.836806
0.319196,0.753472
0.330357,0.763889
0.305804,0.729167
0.314732,0.725694
0.328125,0.819444
0.334821,0.836806
0.339286,0.868056
0.332589,0.84375
0.321429,0.833333
0.325893,0.847222
0.332589,0.868056
0.316964,0.805556
0.316964,0.791667
0.330357,0.815972
0.321429,0.777778
0.308036,0.78125
0.308036,0.805556
0.299107,0.791667
0.303571,0.826389
0.301339,0.842014
0.296875,0.875
0.287946,0.854167
0.285714,0.829861
0.28125,0.826389
0.272321,0.828125
0.267857,0.840278
0.267857,0.847222
0.254464,0.809028
0.263393,0.899306
0.276786,0.947917
0.265625,0.909722
0.238839,0.90625
0.241071,0.875
0.256696,0.916667
0.254464,0.90625
0.243304,0.861111
0.238839,0.829861
0.252232,0.8125
0.254464,0.802083
0.245536,0.788194
0.225446,0.760417
0.236607,0.791667
0.279018,0.861111
0.28125,0.861111
0.276786,0.885417
0.274554,0.881944
0.270089,0.909722
0.265625,0.885417
0.270089,0.885417
0.265625,0.868056
0.272321,0.895833
0.272321,0.875
0.272321,0.881944
0.287946,0.90625
0.299107,0.913194
0.299107,0.885417
0.294643,0.881944
0.3125,0.899306
0.316964,0.916667
0.323661,0.954861
0.319196,0.951389
0.328125,0.958333
0.319196,0.9375
0.316964,0.944444
0.325893,0.961806
0.314732,0.944444
0.323661,0.961806
0.321429,0.951389
0.330357,0.979167
0.337054,1.003472
0.330357,0.975694
0.323661,0.989583
0.332589,1.017361
0.334821,1.020833
0.34375,1.034722
0.368304,1.059028
0.366071,1.03125
0.377232,1.017361
0.368304,1.017361
0.354911,0.996528
0.352679,1.013889
0.359375,1.013889
0.348214,1.013889
0.366071,1.034722
0.379464,1.046875
0.368304,1.03125
0.395089,1.052083
0.399554,1.048611
0.392857,1.045139
0.386161,1.041667
0.386161,1.034722
0.383929,1.041667
0.381696,1.041667
0.388393,1.038194
0.383929,1.041667
0.383929,1.045139
0.390625,1.038194
0.395089,1.027778
0.408482,1.03125
0.419643,1.090278
0.410714,1.072917
0.415179,1.065972
0.419643,1.090278
0.46875,1.194444
0.435268,1.145833
0.444196,1.175347
0.455357,1.244792
0.457589,1.225694
0.459821,1.239583
0.464286,1.260417
0.475446,1.236111
0.484375,1.28125
0.475446,1.284722
0.495536,1.340278
0.495536,1.375
0.497768,1.388889
0.493304,1.378472
0.515625,1.402778
0.508929,1.475694
0.513393,1.430556
0.535714,1.446181
0.544643,1.434028
0.535714,1.423611
0.535714,1.461806
0.511161,1.409722
0.513393,1.420139
0.53125,1.413194
0.546875,1.430556
0.526786,1.385417
0.537946,1.434028
0.513393,1.409722
0.520089,1.420139
0.520089,1.472222
0.508929,1.430556
0.517857,1.46875
0.526786,1.489583
0.571429,1.5625
0.566964,1.447917
0.604911,1.451389
0.575893,1.413194
0.5625,1.364583
0.560268,1.333333
0.595982,1.409722
0.587054,1.364583
0.587054,1.336806
0.59375,1.364583
0.618304,1.375
0.609375,1.381944
0.571429,1.3125
0.566964,1.305556
0.578125,1.371528
0.625,1.458333
0.618304,1.489583
0.607143,1.472222
0.616071,1.493056
0.647321,1.565972
0.625,1.583333
0.640625,1.583333
0.618304,1.527778
0.622768,1.548611
0.611607,1.524306
0.604911,1.506944
0.638393,1.520833
0.551339,1.472222
0.564732,1.579861
0.580357,1.583333
0.560268,1.545139
0.544643,1.475694
0.53125,1.472222
0.555804,1.420139
0.551339,1.409722
0.533482,1.423611
0.522321,1.392361
0.522321,1.40625
0.515625,1.357639
0.428571,1.368056
0.426339,1.40625
0.4375,1.395833
0.433036,1.395833
0.455357,1.434028
0.453125,1.402778
0.446429,1.434028
0.459821,1.475694
0.466518,1.434028
0.470982,1.425347
0.459821,1.392361
0.455357,1.378472
0.435268,1.375
0.421875,1.381944
0.404018,1.385417
0.408482,1.427083
0.415179,1.486111
0.40625,1.527778
0.410714,1.534722
0.412946,1.545139
0.419643,1.529514
0.424107,1.534722
0.419643,1.520833
0.441964,1.555556
0.439732,1.5625
0.430804,1.565972
0.412946,1.524306
0.410714,1.53125
0.401786,1.541667
0.392857,1.538194
0.379464,1.541667
0.381696,1.545139
0.366071,1.579861
0.377232,1.572917
0.372768,1.524306
0.368304,1.402778
0.375,1.40625
0.372768,1.402778
0.375,1.378472
0.381696,1.375
0.379464,1.411458
0.377232,1.411458
0.377232,1.432292
0.377232,1.484375
0.377232,1.34375
0.383929,1.328125
0.404018,1.265625
0.421875,1.40625
0.424107,1.421875
0.419643,1.369792
0.421875,1.395833
0.417411,1.432292
0.40625,1.458333
0.388393,1.369792
0.392857,1.416667
0.404018,1.40625
0.408482,1.390625
0.412946,1.416667
0.404018,1.395833
0.404018,1.395833
0.408482,1.395833
0.404018,1.479167
0.40625,1.46875
0.415179,1.520833
0.410714,1.536458
0.444196,1.536458
0.444196,1.526042
0.435268,1.505208
0.441964,1.557292
0.453125,1.583333
0.450893,1.640625
0.453125,1.661458
0.464286,1.744792
0.488839,1.723958
0.491071,1.71875
0.470982,1.682292
0.441964,1.614583
0.459821,1.679688
0.46875,1.708333
0.482143,1.755208
0.482143,1.75
0.473214,1.765625
0.473214,1.765625
0.482143,1.765625
0.475446,1.791667
0.473214,1.786458
0.470982,1.770833
0.470982,1.734375
0.459821,1.729167
0.455357,1.6875
0.462054,1.682292
0.470982,1.708333
0.453125,1.677083
0.457589,1.729167
0.446429,1.78125
0.439732,1.729167
0.419643,1.723958
0.435268,1.75
0.448661,1.770833
0.444196,1.807292
0.446429,1.796875
0.441964,1.776042
0.448661,1.833333
0.448661,1.822917
0.446429,1.864583
